file_stem,file_name,full_path,relative_path,level_1_dir,level_2_dir,level_3_dir,suffix,size_mb,page_count,sample_text_len,is_scanned_suspect,detect_status,extract_status,output_json
2018（306号OA）附件8：中国华能集团有限公司风力发电场绝缘监督标准（2018版）,2018（306号OA）附件8：中国华能集团有限公司风力发电场绝缘监督标准（2018版）.pdf,E:\WORK\data\raw_pdf\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\2018（306号OA）附件8：中国华能集团有限公司风力发电场绝缘监督标准（2018版）.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\2018（306号OA）附件8：中国华能集团有限公司风力发电场绝缘监督标准（2018版）.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,2018（306号OA）附件8：中国华能集团有限公司风力发电场绝缘监督标准（2018版）.pdf,.pdf,0.62,98,6785,False,success,success,E:\WORK\data\extracted_text\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\2018（306号OA）附件8：中国华能集团有限公司风力发电场绝缘监督标准（2018版）.json
DL-T 474.1-2018 绝缘电阻、吸收比和极化指数试验,DL-T 474.1-2018 绝缘电阻、吸收比和极化指数试验.pdf,E:\WORK\data\raw_pdf\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DL-T 474.1-2018 绝缘电阻、吸收比和极化指数试验.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DL-T 474.1-2018 绝缘电阻、吸收比和极化指数试验.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,DL-T 474.1-2018 绝缘电阻、吸收比和极化指数试验.pdf,.pdf,2.05,9,0,True,success,,
DLT 1000.5-2021 标称电压高于1000V架空线路绝缘子使用导则 第5部分：交流系统用盘形悬式复合瓷或玻璃绝缘子,DLT 1000.5-2021 标称电压高于1000V架空线路绝缘子使用导则 第5部分：交流系统用盘形悬式复合瓷或玻璃绝缘子.pdf,E:\WORK\data\raw_pdf\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 1000.5-2021 标称电压高于1000V架空线路绝缘子使用导则 第5部分：交流系统用盘形悬式复合瓷或玻璃绝缘子.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 1000.5-2021 标称电压高于1000V架空线路绝缘子使用导则 第5部分：交流系统用盘形悬式复合瓷或玻璃绝缘子.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,DLT 1000.5-2021 标称电压高于1000V架空线路绝缘子使用导则 第5部分：交流系统用盘形悬式复合瓷或玻璃绝缘子.pdf,.pdf,2.68,14,118,True,success,,
DLT 1054-2021 高压电气设备绝缘技术监督规程,DLT 1054-2021 高压电气设备绝缘技术监督规程.pdf,E:\WORK\data\raw_pdf\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 1054-2021 高压电气设备绝缘技术监督规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 1054-2021 高压电气设备绝缘技术监督规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,DLT 1054-2021 高压电气设备绝缘技术监督规程.pdf,.pdf,24.9,27,67,True,success,,
DLT 1081-2008 12kV～40.5kV户外高压开关运行规程,DLT 1081-2008 12kV～40.5kV户外高压开关运行规程.pdf,E:\WORK\data\raw_pdf\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 1081-2008 12kV～40.5kV户外高压开关运行规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 1081-2008 12kV～40.5kV户外高压开关运行规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,DLT 1081-2008 12kV～40.5kV户外高压开关运行规程.pdf,.pdf,4.16,16,0,True,success,,
DLT 1102-2021 配电变压器运行规程,DLT 1102-2021 配电变压器运行规程.pdf,E:\WORK\data\raw_pdf\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 1102-2021 配电变压器运行规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 1102-2021 配电变压器运行规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,DLT 1102-2021 配电变压器运行规程.pdf,.pdf,7.45,28,118,True,success,,
DLT 1244-2021交、直流系统用高压绝缘子人工覆冰闪络试验方法,DLT 1244-2021交、直流系统用高压绝缘子人工覆冰闪络试验方法.pdf,E:\WORK\data\raw_pdf\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 1244-2021交、直流系统用高压绝缘子人工覆冰闪络试验方法.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 1244-2021交、直流系统用高压绝缘子人工覆冰闪络试验方法.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,DLT 1244-2021交、直流系统用高压绝缘子人工覆冰闪络试验方法.pdf,.pdf,3.19,13,0,True,success,,
DLT 1250-2013 气体绝缘金属封闭开关设备带电超声局部放电检测应用导则,DLT 1250-2013 气体绝缘金属封闭开关设备带电超声局部放电检测应用导则.pdf,E:\WORK\data\raw_pdf\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 1250-2013 气体绝缘金属封闭开关设备带电超声局部放电检测应用导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 1250-2013 气体绝缘金属封闭开关设备带电超声局部放电检测应用导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,DLT 1250-2013 气体绝缘金属封闭开关设备带电超声局部放电检测应用导则.pdf,.pdf,4.71,20,0,True,success,,
DLT 1251-2013 电力用电容式电压互感器使用技术规范,DLT 1251-2013 电力用电容式电压互感器使用技术规范.pdf,E:\WORK\data\raw_pdf\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 1251-2013 电力用电容式电压互感器使用技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 1251-2013 电力用电容式电压互感器使用技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,DLT 1251-2013 电力用电容式电压互感器使用技术规范.pdf,.pdf,6.86,26,0,True,success,,
DLT 1253-2013 电力电缆线路运行规程,DLT 1253-2013 电力电缆线路运行规程.pdf,E:\WORK\data\raw_pdf\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 1253-2013 电力电缆线路运行规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 1253-2013 电力电缆线路运行规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,DLT 1253-2013 电力电缆线路运行规程.pdf,.pdf,1.38,31,0,True,success,,
